target
13
19
23
38
36
45

34
29
36
35
36
37

36
28
30
27
21
29

32
29
40
27
36
38

26
39
28
42
36
38

49
36
41
33
29
38

38
42
49
28
26
38

35
46
42
47
38
29

43
48
39
44
56
42

54
